id,required,phase,area,scenario,expected,evidence
W33-001,yes,W33,Baseline,WSGS remote fetched,Actual branch/PR head recorded,SOURCE/SCHEMA
W33-002,yes,W33,Baseline,PR #5 state,Stack/base strategy selected,SOURCE/SCHEMA
W33-003,yes,W33,Baseline,GDPS remote fetched,Actual v0.2/v0.2.1 source recorded,SOURCE/SCHEMA
W33-004,yes,W33,Baseline,GOWM remote fetched,Actual main SHA recorded,SOURCE/SCHEMA
W33-005,yes,W33,Baseline,GOWM version-string caveat,Exact hashes used instead of version alone,SOURCE/SCHEMA
W33-006,yes,W33,Baseline,Running GOWM binding,Actual contract/semantic/binding revisions recorded,SOURCE/SCHEMA
W33-007,yes,W33,Baseline,GDPS handoff located,Actual bundle source identified,SOURCE/SCHEMA
W33-008,yes,W33,Baseline,Handoff checksum,Bundle checksums verified,SOURCE/SCHEMA
W33-009,yes,W33,Baseline,Provider identity,gdps.geospatial-products locked,SOURCE/SCHEMA
W33-010,yes,W33,Baseline,Provider version,Actual provider version recorded,SOURCE/SCHEMA
W33-011,yes,W33,Baseline,34 ProductTypes,Exact expected set,SOURCE/SCHEMA
W33-012,yes,W33,Baseline,35 profiles,Exact count and unique IDs,SOURCE/SCHEMA
W33-013,yes,W33,Baseline,30 operations,Exact 23+7 set,SOURCE/SCHEMA
W33-014,yes,W33,Baseline,All PREVIEW,Maturity exact,SOURCE/SCHEMA
W33-015,yes,W33,Baseline,No product history,No forbidden semantics in handoff,SOURCE/SCHEMA
W33-016,yes,W33,Baseline,WSGS baseline,Actual WSGS SHA and VERSION recorded,SOURCE/SCHEMA
W33-017,yes,W33,Baseline,Correct task branch base,No PR #5 history rewrite,SOURCE/SCHEMA
W33-018,yes,W33,Baseline,No direct-endpoint data in handoff,Secrets/internal URLs rejected,SOURCE/SCHEMA
W33-019,yes,W33,Baseline,Source-lock report,Machine-valid report emitted,SOURCE/SCHEMA
W33-020,yes,W33,Baseline,Blocked policy,Missing handoff cannot produce COMPLETE,SOURCE/SCHEMA
W34-001,yes,W34,ContractIntake,Upstream directory,gdps-v0.2.1 bundle stored,SCHEMA/UNIT/STATIC_GUARD
W34-002,yes,W34,ContractIntake,Consumer lock schema,Valid,SCHEMA/UNIT/STATIC_GUARD
W34-003,yes,W34,ContractIntake,Capability lock schema,Valid,SCHEMA/UNIT/STATIC_GUARD
W34-004,yes,W34,ContractIntake,Descriptor lock schema,Valid,SCHEMA/UNIT/STATIC_GUARD
W34-005,yes,W34,ContractIntake,Recipe lock schema,Valid,SCHEMA/UNIT/STATIC_GUARD
W34-006,yes,W34,ContractIntake,Dataset lock schema,Valid,SCHEMA/UNIT/STATIC_GUARD
W34-007,yes,W34,ContractIntake,Gateway binding schema,Valid,SCHEMA/UNIT/STATIC_GUARD
W34-008,yes,W34,ContractIntake,Consumer package checksums,All files exact,SCHEMA/UNIT/STATIC_GUARD
W34-009,yes,W34,ContractIntake,Generated descriptor types,Compile,SCHEMA/UNIT/STATIC_GUARD
W34-010,yes,W34,ContractIntake,Generated descriptor registry,Exact 35 profiles,SCHEMA/UNIT/STATIC_GUARD
W34-011,yes,W34,ContractIntake,Generated capability lock,Exact 30,SCHEMA/UNIT/STATIC_GUARD
W34-012,yes,W34,ContractIntake,Generated recipe lock,Exact authorized recipes,SCHEMA/UNIT/STATIC_GUARD
W34-013,yes,W34,ContractIntake,Generated hashes,Canonical and deterministic,SCHEMA/UNIT/STATIC_GUARD
W34-014,yes,W34,ContractIntake,Intake report,Pass/fail with issues,SCHEMA/UNIT/STATIC_GUARD
W34-015,yes,W34,ContractIntake,Generate --check,No drift,SCHEMA/UNIT/STATIC_GUARD
W34-016,yes,W34,ContractIntake,Duplicate descriptor rejected,Fail closed,SCHEMA/UNIT/STATIC_GUARD
W34-017,yes,W34,ContractIntake,Unknown ProductType rejected,Fail closed,SCHEMA/UNIT/STATIC_GUARD
W34-018,yes,W34,ContractIntake,Unknown operation rejected,Fail closed,SCHEMA/UNIT/STATIC_GUARD
W34-019,yes,W34,ContractIntake,Schema hash drift rejected,Fail closed,SCHEMA/UNIT/STATIC_GUARD
W34-020,yes,W34,ContractIntake,Semantic hash drift rejected,Fail closed,SCHEMA/UNIT/STATIC_GUARD
W34-021,yes,W34,ContractIntake,Provider mismatch rejected,Fail closed,SCHEMA/UNIT/STATIC_GUARD
W34-022,yes,W34,ContractIntake,Gateway revision mismatch rejected,Fail closed,SCHEMA/UNIT/STATIC_GUARD
W34-023,yes,W34,ContractIntake,Secret path rejected,No secret-bearing fields,SCHEMA/UNIT/STATIC_GUARD
W34-024,yes,W34,ContractIntake,Current-only guard,No productVersion semantics,SCHEMA/UNIT/STATIC_GUARD
W34-025,yes,W34,ContractIntake,Contract package exports,Consumers import generated types,SCHEMA/UNIT/STATIC_GUARD
W35-001,yes,W35,DescriptorConsumer,Package exists,gdps-descriptor-consumer compiles,UNIT/STATIC_GUARD
W35-002,yes,W35,DescriptorConsumer,Descriptor lookup matched,Type/profile exact,UNIT/STATIC_GUARD
W35-003,yes,W35,DescriptorConsumer,Descriptor lookup missing,DESCRIPTOR_NOT_FOUND,UNIT/STATIC_GUARD
W35-004,yes,W35,DescriptorConsumer,Descriptor lookup ambiguous,AMBIGUOUS,UNIT/STATIC_GUARD
W35-005,yes,W35,DescriptorConsumer,Concept SLOPE,SLOPE/DEGREE,UNIT/STATIC_GUARD
W35-006,yes,W35,DescriptorConsumer,Concept FLOOD_RISK,FLOOD_RISK/FLOOD_RISK_CLASS,UNIT/STATIC_GUARD
W35-007,yes,W35,DescriptorConsumer,Concept DRAINAGE,DRAINAGE_NETWORK/DRAINAGE_FEATURES,UNIT/STATIC_GUARD
W35-008,yes,W35,DescriptorConsumer,Representation continuous,Correct,UNIT/STATIC_GUARD
W35-009,yes,W35,DescriptorConsumer,Representation categorical,Correct,UNIT/STATIC_GUARD
W35-010,yes,W35,DescriptorConsumer,Representation vector,Correct,UNIT/STATIC_GUARD
W35-011,yes,W35,DescriptorConsumer,QueryProfile supported,Pass,UNIT/STATIC_GUARD
W35-012,yes,W35,DescriptorConsumer,QueryProfile unsupported,Explicit gap,UNIT/STATIC_GUARD
W35-013,yes,W35,DescriptorConsumer,Vocabulary class valid,Pass,UNIT/STATIC_GUARD
W35-014,yes,W35,DescriptorConsumer,Vocabulary class invalid,CLASS_CODE_UNSUPPORTED,UNIT/STATIC_GUARD
W35-015,yes,W35,DescriptorConsumer,Range valid,Pass,UNIT/STATIC_GUARD
W35-016,yes,W35,DescriptorConsumer,Range invalid order,VALUE_RANGE_INVALID,UNIT/STATIC_GUARD
W35-017,yes,W35,DescriptorConsumer,Range outside descriptor,VALUE_RANGE_INVALID,UNIT/STATIC_GUARD
W35-018,yes,W35,DescriptorConsumer,Unit exact,Pass,UNIT/STATIC_GUARD
W35-019,yes,W35,DescriptorConsumer,Unit compatible conversion,Deterministic conversion or explicit unsupported,UNIT/STATIC_GUARD
W35-020,yes,W35,DescriptorConsumer,Unit mismatch,UNIT_MISMATCH,UNIT/STATIC_GUARD
W35-021,yes,W35,DescriptorConsumer,Filter allowlisted,Pass,UNIT/STATIC_GUARD
W35-022,yes,W35,DescriptorConsumer,Filter not allowlisted,PROPERTY_FILTER_UNSUPPORTED,UNIT/STATIC_GUARD
W35-023,yes,W35,DescriptorConsumer,Required platform profile,Required enforced,UNIT/STATIC_GUARD
W35-024,yes,W35,DescriptorConsumer,Forbidden platform profile,Forbidden enforced,UNIT/STATIC_GUARD
W35-025,yes,W35,DescriptorConsumer,Optional platform profile,Optional accepted,UNIT/STATIC_GUARD
W35-026,yes,W35,DescriptorConsumer,Recipe lookup,Exact descriptor/query profile,UNIT/STATIC_GUARD
W35-027,yes,W35,DescriptorConsumer,Recipe absent,Explicit gap,UNIT/STATIC_GUARD
W35-028,yes,W35,DescriptorConsumer,Descriptor hash evidence,Returned,UNIT/STATIC_GUARD
W35-029,yes,W35,DescriptorConsumer,No HTTP/DB,Architecture guard,UNIT/STATIC_GUARD
W35-030,yes,W35,DescriptorConsumer,Deterministic resolution,Same input same evidence hash,UNIT/STATIC_GUARD
W36-001,yes,W36,SemanticIntent,Intent schema,Valid,UNIT/STATIC_GUARD
W36-002,yes,W36,SemanticIntent,Grounded intent schema,Valid,UNIT/STATIC_GUARD
W36-003,yes,W36,SemanticIntent,Slope concept,Detected,UNIT/STATIC_GUARD
W36-004,yes,W36,SemanticIntent,Aspect concept,Detected,UNIT/STATIC_GUARD
W36-005,yes,W36,SemanticIntent,Flood concept,Detected,UNIT/STATIC_GUARD
W36-006,yes,W36,SemanticIntent,Drainage concept,Detected,UNIT/STATIC_GUARD
W36-007,yes,W36,SemanticIntent,Bridge concept,Detected,UNIT/STATIC_GUARD
W36-008,yes,W36,SemanticIntent,Communication concept,Detected,UNIT/STATIC_GUARD
W36-009,yes,W36,SemanticIntent,Vegetation concept,Detected,UNIT/STATIC_GUARD
W36-010,yes,W36,SemanticIntent,15-30 degree range,Parsed deterministically,UNIT/STATIC_GUARD
W36-011,yes,W36,SemanticIntent,Greater-than range,Parsed deterministically,UNIT/STATIC_GUARD
W36-012,yes,W36,SemanticIntent,High/very-high classes,Parsed,UNIT/STATIC_GUARD
W36-013,yes,W36,SemanticIntent,500m distance,Parsed,UNIT/STATIC_GUARD
W36-014,yes,W36,SemanticIntent,1km distance,Parsed as 1000m,UNIT/STATIC_GUARD
W36-015,yes,W36,SemanticIntent,Explicit product,Parsed only from source,UNIT/STATIC_GUARD
W36-016,yes,W36,SemanticIntent,No product hallucination,Model cannot inject unanchored product,UNIT/STATIC_GUARD
W36-017,yes,W36,SemanticIntent,Vehicle mention unchanged,Reference semantics preserved,UNIT/STATIC_GUARD
W36-018,yes,W36,SemanticIntent,Area mention unchanged,Reference semantics preserved,UNIT/STATIC_GUARD
W36-019,yes,W36,SemanticIntent,Intent has no operationId,Static guard,UNIT/STATIC_GUARD
W36-020,yes,W36,SemanticIntent,Intent has no providerId,Static guard,UNIT/STATIC_GUARD
W36-021,yes,W36,SemanticIntent,Concept map has no operationId,Static guard,UNIT/STATIC_GUARD
W36-022,yes,W36,SemanticIntent,Model unsupported concept,Descriptor gap,UNIT/STATIC_GUARD
W36-023,yes,W36,SemanticIntent,Invalid source span,Rejected,UNIT/STATIC_GUARD
W36-024,yes,W36,SemanticIntent,Unit mismatch,Detected before compile,UNIT/STATIC_GUARD
W36-025,yes,W36,SemanticIntent,No distance in source,Model cannot fabricate,UNIT/STATIC_GUARD
W36-026,yes,W36,SemanticIntent,Frame 1.0 compatibility,Existing contracts pass,UNIT/STATIC_GUARD
W36-027,yes,W36,SemanticIntent,Existing GDPS semantics,Seven specialized signals retained,UNIT/STATIC_GUARD
W36-028,yes,W36,SemanticIntent,Intent evidence,Source node/span evidence retained,UNIT/STATIC_GUARD
W37-001,yes,W37,Planner,Seven generic requirements declared,Exact set,UNIT/STATIC_GUARD
W37-002,yes,W37,Planner,Planner no operation IDs,Static guard,UNIT/STATIC_GUARD
W37-003,yes,W37,Planner,Slope point requirement,READ_GEO_PRODUCT_VALUE,UNIT/STATIC_GUARD
W37-004,yes,W37,Planner,Slope profile requirement,READ_GEO_PRODUCT_PROFILE,UNIT/STATIC_GUARD
W37-005,yes,W37,Planner,Slope range requirement,FIND_GEO_PRODUCT_VALUE_RANGE_AREAS,UNIT/STATIC_GUARD
W37-006,yes,W37,Planner,Flood class requirement,FIND_GEO_PRODUCT_CLASS_AREAS,UNIT/STATIC_GUARD
W37-007,yes,W37,Planner,Drainage in area,FIND_GEO_VECTOR_FEATURES_IN_AREA,UNIT/STATIC_GUARD
W37-008,yes,W37,Planner,Drainage nearby,FIND_GEO_VECTOR_FEATURES_NEARBY,UNIT/STATIC_GUARD
W37-009,yes,W37,Planner,Drainage intersects,FIND_GEO_VECTOR_INTERSECTIONS,UNIT/STATIC_GUARD
W37-010,yes,W37,Planner,High ground specialized,FIND_HIGH_GROUND,UNIT/STATIC_GUARD
W37-011,yes,W37,Planner,Wetlands specialized,FIND_WETLANDS,UNIT/STATIC_GUARD
W37-012,yes,W37,Planner,Land cover specialized,READ_LAND_COVER,UNIT/STATIC_GUARD
W37-013,yes,W37,Planner,Elevation specialized,READ_ELEVATION,UNIT/STATIC_GUARD
W37-014,yes,W37,Planner,Traversability specialized,EXPLAIN_TRAVERSABILITY,UNIT/STATIC_GUARD
W37-015,yes,W37,Planner,Flood no longer fixed unsupported,Generic planned,UNIT/STATIC_GUARD
W37-016,yes,W37,Planner,Slope no longer terrain gap,Generic planned,UNIT/STATIC_GUARD
W37-017,yes,W37,Planner,Descriptor gap,Explicit,UNIT/STATIC_GUARD
W37-018,yes,W37,Planner,Query profile gap,Explicit,UNIT/STATIC_GUARD
W37-019,yes,W37,Planner,Class invalid,No query planned,UNIT/STATIC_GUARD
W37-020,yes,W37,Planner,Unit invalid,No query planned,UNIT/STATIC_GUARD
W37-021,yes,W37,Planner,Explicit product propagated,Only when source anchored,UNIT/STATIC_GUARD
W37-022,yes,W37,Planner,Requirement graph valid,Schema/hash/dependencies,UNIT/STATIC_GUARD
W37-023,yes,W37,Planner,Reference dependency point,Resolve→state→requirement,UNIT/STATIC_GUARD
W37-024,yes,W37,Planner,Reference dependency area,Resolve→geometry→requirement,UNIT/STATIC_GUARD
W37-025,yes,W37,Planner,Existing planner regression,All prior recipes pass,UNIT/STATIC_GUARD
W38-001,yes,W38,TrustedSnapshot,No provider 0.1 hardcode,Lock driven,UNIT/REAL_POSTGRES
W38-002,yes,W38,TrustedSnapshot,No count 23 hardcode,Lock driven,UNIT/REAL_POSTGRES
W38-003,yes,W38,TrustedSnapshot,No source recipe map,Generated lock driven,UNIT/REAL_POSTGRES
W38-004,yes,W38,TrustedSnapshot,Consumer lock hash,Snapshot stores,UNIT/REAL_POSTGRES
W38-005,yes,W38,TrustedSnapshot,Capability lock hash,Snapshot stores,UNIT/REAL_POSTGRES
W38-006,yes,W38,TrustedSnapshot,Descriptor lock hash,Snapshot stores,UNIT/REAL_POSTGRES
W38-007,yes,W38,TrustedSnapshot,Recipe lock hash,Snapshot stores,UNIT/REAL_POSTGRES
W38-008,yes,W38,TrustedSnapshot,34 type count,Snapshot validates,UNIT/REAL_POSTGRES
W38-009,yes,W38,TrustedSnapshot,35 profile count,Snapshot validates,UNIT/REAL_POSTGRES
W38-010,yes,W38,TrustedSnapshot,30 capability keys,Snapshot validates,UNIT/REAL_POSTGRES
W38-011,yes,W38,TrustedSnapshot,Capability intersection,Only locked/runtime capabilities,UNIT/REAL_POSTGRES
W38-012,yes,W38,TrustedSnapshot,Recipe intersection,Only authorized operations,UNIT/REAL_POSTGRES
