acceptanceId,requirementSource,ownerPhase,implementationTargets,verificationTargets,evidenceTargets,consumerCaseIds,completionMarker
V21-G01,task-package#2+task-package#11-N00,N00,N00 seven-artifact baseline,git+gh+fetch+tree+hash source reconciliation,reports/sacs-geospatial-v1/N00-source-reconciliation.json|reports/sacs-geospatial-v1/N00-consumer-compatibility-baseline.json,ALL_18,WSGS_V021_BASELINE_LOCKED
V21-G02,task-package#2.1+task-package#8.15+task-package#9,N01,VERSION|package manifests|OCI label|capabilities 1.1|handoff metadata|README|CHANGELOG,deterministic version-surface guard|workspace lockfile check,reports/sacs-geospatial-v1/N01-contract-diff.json|reports/sacs-geospatial-v1/N01-phase-report.md,ALL_18,WSGS_V021_GEOSPATIAL_CONTRACT_READY
V21-G03,task-package#8.1,N01,contracts/wsgs-v0.1 frozen tree|additive 1.1 release,legacy raw-byte lock|strict schema compile|positive and fail-closed cases|SACS PR17 fixture compatibility,reports/sacs-geospatial-v1/N01-contract-diff.json|reports/sacs-geospatial-v1/N01-schema-validation.json|reports/sacs-geospatial-v1/N01-sacs-schema-compatibility.json|contracts/wsgs-v0.2.1-sacs-geospatial/contract-release-lock.json,ALL_18,WSGS_V021_GEOSPATIAL_CONTRACT_READY
V21-G04,task-package#8.1+task-package#8.2+task-package#8.15,N04,GroundingResult additive extension|API|capabilities|worker projection,contract|type|API|result-extension tests,contract-report.json|result-extension-report.json,ALL_18,WSGS_V021_RESULT_EXTENSION_READY
V21-G05,task-package#8.3-8.10,N02,decoder registry|six finding contracts,descriptor|profile|output-schema dispatch|canonical hash tests,decoder-report.json,E2E-01..E2E-10|NEG-05|HYBRID-01,WSGS_V021_FINDING_DECODER_READY
V21-G06,task-package#8.11+task-package#8.12,N03,SourceProduct|TypedGap|provenance normalizers,positive|NO_DATA|PARTIAL|unknown schema|evidence incomplete tests,provenance-report.json|real-e2e.json,E2E-01..E2E-10|NEG-01|NEG-02|NEG-04|NEG-05|NEG-07|HYBRID-01,WSGS_V021_GEOSPATIAL_PROVENANCE_READY
V21-G07,task-package#8.13,N05,structured selection parser|signer|verifier,expiry|replay|tamper|principal|thread|scope tests,structured-selection-report.json|sacs-consumer-report.json,E2E-09|E2E-10|NEG-03|NEG-07,WSGS_V021_STRUCTURED_SELECTION_READY
V21-G08,task-package#8.14,N06,VALIDATE_SOURCE_CURRENTNESS compiler|runtime|result,CURRENT|CHANGED|NOT_AVAILABLE|UNKNOWN|strict|best-effort,currentness-report.json|real-e2e.json,NEG-06|CURRENTNESS_CASES,WSGS_V021_CURRENTNESS_READY
V21-G09,task-package#11-N07,N07,migrations|assertions|stores|replay|recovery,clean+upgrade PostgreSQL|replay conflict|restart recovery,postgres-report.json,ALL_18,WSGS_V021_PERSISTENCE_READY
V21-G10,task-package#9,N08,handoff/sacs-geospatial-v1 exact 8+1 generator,schema|hash|inventory|bundle|drift|forbidden fields,handoff-intake-report.json|handoff/sacs-geospatial-v1/CHECKSUMS.json,ALL_18,WSGS_V021_HANDOFF_PUBLISHED
V21-G11,task-package#11-N09,N09,SACS exact-head intake harness,PR17 parser|capability|result|currentness compatibility,sacs-consumer-report.json,ALL_18,WSGS_SACS_V04_CONSUMER_COMPATIBLE
V21-G12,task-package#11-N10,N10,real harness only,exact real path|18 terminal assertions,real-e2e.json,EXACT_18,WSGS_SACS_V04_REAL_E2E_QUALIFIED
V21-G13,task-package#20+task-package#11-N11,N11,CI workflow|validators|secret scans|delivery audit,root check|architecture|acceptance|hosted CI|PR head|clean,repository-check.json|ci-report.json|delivery-scan.json,ALL_18,WSGS_V0_2_1_DEVELOPMENT_COMPLETE
V21-G14,task-package#4+task-package#11-N11,N11,qualification|ledger|final report,G01-G13 PASS|exact-head relation,qualification.json|acceptance-ledger.json|FINAL_REPORT.md,ALL_18,WSGS_V0_2_1_DEVELOPMENT_COMPLETE
