id,required,area,scenario,expected,test_type
AC-B001,yes,Baseline,Fetch WSGS main,Actual latest committed WSGS SHA/version recorded,source
AC-B002,yes,Baseline,Fetch GOWM exact source,GOWM 0.6.3 exact commit remains available,source
AC-B003,yes,Baseline,Worktree isolation,No unrelated work is reset/stashed/overwritten,git-safety
AC-B004,yes,Baseline,v0.1 regression,Existing contracts/components/security/PostgreSQL tests pass,regression
AC-B005,yes,Baseline,Northbound contract hash,sacs-wsgs-grounding/1.0 files remain byte-identical,contract
AC-B006,yes,Baseline,No upper layer,No SACS/SDAR/A2A runtime dependency is introduced,architecture
AC-B007,yes,Baseline,No GOWM internals,No Provider URL/DB/schema/implementation dependency enters WSGS,architecture
AC-B008,yes,Baseline,No scope creep,Terrain/Visibility/Raster algorithms are not implemented,architecture
AC-B009,yes,Baseline,Draft PR,Target branch and Draft PR are created from actual WSGS main,git
AC-B010,yes,Baseline,Status truth,README/status no longer claims only GOWM 0.4.0 or fail-closed final backend,docs
AC-C001,yes,ContractIntake,Exact GOWM commit,Intake source equals locked GOWM commit,source
AC-C002,yes,ContractIntake,Package name/version,Package is @gowm/world-gateway-contracts@0.6.3,contract
AC-C003,yes,ContractIntake,Package integrity,SHA-512 integrity matches locked value,supply-chain
AC-C004,yes,ContractIntake,Bundle manifest,All bundle files match MANIFEST bytes and SHA-256,supply-chain
AC-C005,yes,ContractIntake,Contract revision,Contract catalog revision matches lock,contract
AC-C006,yes,ContractIntake,Semantic hash,Semantic catalog hash matches lock,contract
AC-C007,yes,ContractIntake,Availability hash,Availability contract hash matches lock,contract
AC-C008,yes,ContractIntake,Snapshot hash,Snapshot contract hash matches lock,contract
AC-C009,yes,ContractIntake,Delegation hash,Delegation contract hash matches lock,contract
AC-C010,yes,ContractIntake,Southbound lock,Lock v2 SHA-256 and schema validate,contract
AC-C011,yes,ContractIntake,No provider topology,Artifact contains no Provider URL/container/database role,security
AC-C012,yes,ContractIntake,No secrets,Artifact contains no token/private key/env secret,security
AC-C013,yes,ContractIntake,Deterministic materialization,Two materializations produce identical intake tree,reproducibility
