id,phase,priority,requirement,verification,evidence,expected
WA-001,W00,REQUIRED,只有 WSGS 存在实现写入，其他仓库只读,git diff/status 与变更范围复查,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,无跨仓实现、自动部署或控制调用
WA-002,W00,REQUIRED,刷新并记录 main/T5 观察值和提交包含关系,source/ancestry 对账,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,不存在机械重复 merge/cherry-pick 或旧基线冒充最新
WA-003,W00,REQUIRED,保留 main recovery/idempotency/deadline 修复,差异核对和现有定向回归,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,无修复回退
WA-004,W00,REQUIRED,历史轨迹和 T5 在同一实施基线可定位,依赖、编译和源码入口核验,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,不重建已有功能或遗漏基础
WA-005,W00,REQUIRED,保全用户工作区并使用专用分支,工作区操作记录,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,不 reset/clean/force push，不远程合并
WA-006,W00,REQUIRED,列出真实请求至结果读取的调用路径,源码路径和函数引用对账,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,覆盖 API/backend/worker/store/GET
WA-007,W00,REQUIRED,冻结旧公开合同文件清单和真实字节 hash,哈希脚本与旧版本路径清单,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,区分 Git blob SHA 和 SHA-256
WA-008,W00,REQUIRED,记录当前命令、测试失败、skip 与依赖条件,基线命令日志,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,不借用历史 PR 通过数量
WA-009,W00,REQUIRED,形成执行计划与版本/范围声明,execplan 和 baseline 审查,reports/wsgs-v0.2.4-stable-world-analysis-service/W00/,工作项版本不等于发布版本
WA-010,W01,REQUIRED,W01 冻结早于新运行时实现,提交序列及 freeze record,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,合同门未过不得进入 W02
WA-011,W01,REQUIRED,五类 Finding 与有界 Choice/Gap 判别联合,完整 Schema 正反例,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,无 any/raw Provider 公共兜底
WA-012,W01,REQUIRED,请求/结果/Job/Capabilities/OpenAPI 引用闭包,离线完整 payload 校验,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,不是只校验独立子对象
WA-013,W01,REQUIRED,旧 1.0/1.1 与 geospatial 工件不可变,W00 哈希逐文件对比,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,不原地修改冻结合同
WA-014,W01,REQUIRED,明确 1.2 精确协商和 geospatial 共存规则,协商矩阵正反例,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,新扩展只在 1.2 出现
WA-015,W01,REQUIRED,明确 ID/引用/选择回传条件且不混用 RP ID,Schema 与跨字段语义校验,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,candidateId 不冒充 selectedProductIds
WA-016,W01,REQUIRED,状态/原因码/时间/CRS/缺失值语义可判定,语义用例校验,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,PENDING 不是新结果终态，UNKNOWN 不是 0/false
WA-017,W01,REQUIRED,哈希范围、canonical 算法、排序与限额已冻结,固定 hash vectors 与 limits 检查,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,无自引用循环或排名重排
WA-018,W01,REQUIRED,生成真实 lock/checksums 和唯一来源类型,verify:world-analysis-contract,reports/wsgs-v0.2.4-stable-world-analysis-service/W01/,无引用丢失、生成 drift 或未决核心语义
WA-019,W02,REQUIRED,验证锁定上游 envelope/schema 后才映射,有效/无效上游 fixture 对照,reports/wsgs-v0.2.4-stable-world-analysis-service/W02/,未验证载荷不进入公共结果
WA-020,W02,REQUIRED,五类内部结果映射到公共联合,五类 golden tests,reports/wsgs-v0.2.4-stable-world-analysis-service/W02/,无需消费者解析内部 HISTORICAL_*
